entity_id,effective_date,value,score,category,universe,percentage
1,2025-01-01,125.50,85.2,A,US,0.45
2,2025-01-01,98.75,72.1,B,US,0.62
3,2025-01-01,156.30,91.5,A,EU,0.38
4,2025-01-01,87.20,68.9,C,US,0.71
5,2025-01-01,142.80,88.3,B,EU,0.52
6,2025-01-01,110.15,79.6,A,APAC,0.49
7,2025-01-01,134.90,82.4,C,US,0.55
8,2025-01-01,99.45,74.8,B,EU,0.63
9,2025-01-01,167.25,94.1,A,US,0.31
10,2025-01-01,88.60,66.2,C,APAC,0.74
11,2025-01-01,,77.5,B,US,0.58
12,2025-01-01,145.70,89.7,A,EU,0.42
13,2025-01-01,103.25,76.3,C,US,0.61
14,2025-01-01,129.80,84.9,B,APAC,0.47
15,2025-01-01,91.35,69.4,A,EU,0.69
16,2025-01-01,158.40,92.8,C,US,0.35
17,2025-01-01,112.65,80.1,B,US,0.54
18,2025-01-01,137.20,86.5,A,APAC,0.44
19,2025-01-01,,73.9,C,EU,0.65
20,2025-01-01,95.80,71.2,B,US,0.67
1,2025-01-02,127.30,86.1,A,US,0.44
2,2025-01-02,101.50,73.8,B,US,0.60
3,2025-01-02,159.20,92.3,A,EU,0.36
4,2025-01-02,89.75,70.2,C,US,0.69
5,2025-01-02,145.60,89.1,B,EU,0.50
6,2025-01-02,113.40,81.2,A,APAC,0.47
7,2025-01-02,138.25,83.9,C,US,0.53
8,2025-01-02,102.30,76.5,B,EU,0.61
9,2025-01-02,170.80,95.2,A,US,0.29
10,2025-01-02,91.45,67.8,C,APAC,0.72
11,2025-01-02,118.90,78.3,B,US,0.56
12,2025-01-02,148.35,90.4,A,EU,0.40
13,2025-01-02,106.70,77.9,C,US,0.59
14,2025-01-02,132.15,85.6,B,APAC,0.45
15,2025-01-02,94.20,71.1,A,EU,0.67
16,2025-01-02,161.75,93.5,C,US,0.33
17,2025-01-02,115.40,81.8,B,US,0.52
18,2025-01-02,140.85,87.2,A,APAC,0.42
19,2025-01-02,98.60,75.4,C,EU,0.63
20,2025-01-02,88.25,70.5,B,US,0.70
21,2025-01-02,155.90,91.8,A,US,0.37
1,2025-01-03,129.80,87.3,A,US,0.43
2,2025-01-03,104.25,75.2,B,US,0.58
3,2025-01-03,162.50,93.1,A,EU,0.34
4,2025-01-03,92.30,71.8,C,US,0.67
5,2025-01-03,148.90,90.2,B,EU,0.48
6,2025-01-03,116.75,82.6,A,APAC,0.45
7,2025-01-03,141.60,85.1,C,US,0.51
8,2025-01-03,105.80,78.1,B,EU,0.59
9,2025-01-03,174.25,96.3,A,US,0.27
10,2025-01-03,94.70,69.5,C,APAC,0.70
11,2025-01-03,121.35,79.8,B,US,0.54
12,2025-01-03,151.20,91.2,A,EU,0.38
13,2025-01-03,,79.4,C,US,0.57
14,2025-01-03,135.45,86.8,B,APAC,0.43
15,2025-01-03,97.10,72.6,A,EU,0.65
16,2025-01-03,165.30,94.7,C,US,0.31
17,2025-01-03,118.65,83.2,B,US,0.50
18,2025-01-03,143.90,88.5,A,APAC,0.40
19,2025-01-03,101.45,76.9,C,EU,0.61
20,2025-01-03,90.80,71.9,B,US,0.68
21,2025-01-03,158.75,92.6,A,US,0.35
22,2025-01-03,133.20,84.3,B,EU,0.46
